"SampleRowID"	"StationCode"	"SampleDate"	"MethodCode"	"SampleTimeStart"	"SampleTimeEnd"	"UserName"	"SurveyNumber"	"WaterTemperature"	"Turbidity"	"Secchi"	"SecchiEstimated"	"ConductivityTop"	"ConductivityBottom"	"TowDirectionCode"	"MeterStart"	"MeterEnd"	"CableOut"	"TideCode"	"DepthBottom"	"MeterNumber"	"WeatherCode"	"Microcystis"	"WaveCode"	"DateEntered"
84	"072"	9/13/2001 0:00:00	"MWTR"	12/30/1899 8:47:00	12/30/1899 8:57:00		3	19.20		0.67	0	214		2	849037	869758	0	2	11	13327				
85	"072"	10/11/2001 0:00:00	"MWTR"	12/30/1899 8:32:00	12/30/1899 8:41:00		4	18.80		0.90	0			1	683919	706091	0	4	12	13327				
86	"072"	11/16/2001 0:00:00	"MWTR"	12/30/1899 9:46:00	12/30/1899 9:56:00		5	15.10		0.92	0	229		2	54742	74780	0	2	14	13327				
87	"072"	12/14/2001 0:00:00	"MWTR"	12/30/1899 9:27:00	12/30/1899 9:37:00		6	9.60		0.45	0	224		2	187636	208978	0	2	10	13291				
88	"072"	9/19/2002 0:00:00	"MWTR"	12/30/1899 8:03:00	12/30/1899 8:13:00	"djones"	3	20.30		1.20	0	183		2	620079	635017	0	2	12	13227				
89	"072"	10/17/2002 0:00:00	"MWTR"	12/30/1899 8:22:00	12/30/1899 8:31:00	"djones"	4	16.80		1.28	0	159		2	374310	392617	0	2	12	13227				
90	"072"	12/11/2002 0:00:00	"MWTR"	12/30/1899 9:22:00	12/30/1899 9:32:00	"djones"	6	11.10		1.42	0	203		2	836420	857211	0	4	14	13291				
91	"072"	9/16/2003 0:00:00	"MWTR"	12/30/1899 7:09:00		"djones"	3	19.80		1.09	0	193		1	63090	82943	50	4	15	13291				
92	"072"	10/16/2003 0:00:00	"MWTR"	12/30/1899 7:56:00	12/30/1899 8:06:00	"djones"	4	17.20		1.20	0	146		1	633817	652816	0	4	12	13291				
93	"072"	11/10/2003 0:00:00	"MWTR"	12/30/1899 9:19:00	12/30/1899 9:29:00	"djones"	5	13.10		1.26	0	173		2	161391	184661	0	2	10	13227				
94	"072"	12/10/2003 0:00:00	"MWTR"	12/30/1899 9:33:00	12/30/1899 9:44:00	"Admin"	6	11.50		0.51	0	149		2	994001	30142	50	2	11	13227				
95	"072"	9/23/2004 0:00:00	"MWTR"	12/30/1899 7:35:00	12/30/1899 7:45:00	"djones"	3	17.80		0.92	0	156		2			0	2	12	20366				
96	"072"	10/15/2004 0:00:00	"MWTR"	12/30/1899 8:58:00	12/30/1899 9:08:00	"djones"	4	17.80		1.70	0	146		2	173780	195376	50	2	14	20366				
97	"072"	11/9/2004 0:00:00	"MWTR"	12/30/1899 8:26:00	12/30/1899 8:36:00	"Admin"	5	13.20		1.55	0	186		2	942709	964100	50	2	15	20366				
98	"072"	12/16/2004 0:00:00	"MWTR"	12/30/1899 10:19:00	12/30/1899 10:29:00	"djones"	6	11.50		0.61	0	211		1	471808	492123	50	4	15	20366				
99	"072"	9/19/2005 0:00:00	"MWTR"	12/30/1899 9:34:00	12/30/1899 9:45:00	"Admin"	3	19.00		1.05	0	173		2	386910	407419	50	2	14	20366				
100	"072"	10/11/2005 0:00:00	"MWTR"	12/30/1899 10:47:00	12/30/1899 10:58:00	"Admin"	4	16.80		1.10	0	129		1	261879	284726	50	4	15	20366				
101	"072"	11/9/2005 0:00:00	"MWTR"	12/30/1899 8:25:00	12/30/1899 8:35:00	"Admin"	5	14.00		1.49	0	165	164	1	647923	669237	0	4	12	20366				
102	"072"	11/16/2006 0:00:00	"MWTR"	12/30/1899 14:02:00	12/30/1899 14:13:00	"Admin"	5	13.10		1.80	0	181	181	1	220342	239402	0	4	13	21039				
103	"072"	12/15/2006 0:00:00	"MWTR"	12/30/1899 13:18:00	12/30/1899 13:29:00	"Admin"	6	11.30		0.90	0	191	191	1	924891	947708	0	2	13	21039				
104	"072"	9/13/2007 0:00:00	"MWTR"	12/30/1899 12:29:00	12/30/1899 12:41:00	"Admin"	3	20.80		0.90	0	173	173	2	167218	186791	0	2	10	14958	1	1	1	
105	"072"	10/16/2007 0:00:00	"MWTR"	12/30/1899 9:15:00	12/30/1899 9:27:00	"Admin"	4	16.20		2.00	0	145	145	2	348809	370968	50	4	13	14958	2	1	1	
106	"072"	11/16/2007 0:00:00	"MWTR"	12/30/1899 8:34:00	12/30/1899 8:46:00	"Admin"	5	14.50		1.37	0	197		1	508608	530971	0	4	12	14958	2	1	1	
107	"072"	12/17/2007 0:00:00	"MWTR"	12/30/1899 10:35:00	12/30/1899 10:47:00	"Admin"	6	8.20		0.74	0	213		2	338691	357784	50	4	15	22083	3	1	1	
108	"072"	9/18/2008 0:00:00	"MWTR"	12/30/1899 8:54:00	12/30/1899 9:05:00	"Admin"	3	20.00		0.95	0	247		3	68431	81360	50	1	11	22833	1	1	1	
109	"072"	10/17/2008 0:00:00	"MWTR"	12/30/1899 10:09:00	12/30/1899 10:21:00	"Admin"	4	15.80		2.00	0	221		2	803625	821927	0	2	13	22833	1	1	1	
110	"072"	11/14/2008 0:00:00	"MWTR"	12/30/1899 10:55:00	12/30/1899 11:06:00	"Admin"	5	14.90		1.17	0	2740		3	897890	919124	0	3	10	22878	1	1	1	
111	"072"	12/17/2008 0:00:00	"MWTR"	12/30/1899 7:54:00	12/30/1899 8:05:00	"Admin"	6	8.20			0	300		1	966651	989784	50	4	13	22878	1	1	1	
112	"072"	9/22/2009 0:00:00	"MWTR"	12/30/1899 8:42:00	12/30/1899 8:53:00	"Admin"	3	22.10	3.41	2.00	0	198	200	2	687589	705823	50	4	12	23326	1	1	1	
113	"072"	10/21/2009 0:00:00	"MWTR"	12/30/1899 16:24:00	12/30/1899 16:35:00	"Admin"	4	18.10	2.64	2.00	0	156	160	2	27469	45611	50	4	13	23326	1	1	1	
114	"072"	11/17/2009 0:00:00	"MWTR"	12/30/1899 11:33:00	12/30/1899 11:43:00	"Admin"	5	13.20	3.34	2.00	0	186	187	3	44095	64037	50	1	13	23326	1	1	1	
115	"072"	12/16/2009 0:00:00	"MWTR"	12/30/1899 10:41:00	12/30/1899 10:53:00	"Admin"	6	9.10	11.00	0.75	0	212	214	2	112395	128037	0	4	10	23326	2	1	1	
116	"072"	9/23/2010 0:00:00	"MWTR"	12/30/1899 9:08:00	12/30/1899 9:19:00	"Admin"	3	18.90	6.30	1.38	0	163	161	2	386650	408848	0	2	11	23312	1	1	1	
117	"072"	10/18/2010 0:00:00	"MWTR"	12/30/1899 8:55:00	12/30/1899 9:07:00	"Admin"	4	18.00	3.20	1.76	0	108	110	2	720999	742965	0	2	12	23312	2	1	1	
118	"072"	11/8/2010 0:00:00	"MWTR"	12/30/1899 10:39:00	12/30/1899 10:51:00	"Admin"	5	15.50	4.25	1.38	0	191	169	2	133865	155489	50	2	14	23312	1	1	1	
119	"072"	12/7/2010 0:00:00	"MWTR"	12/30/1899 10:01:00	12/30/1899 10:13:00	"Admin"	6	11.20	11.60	0.78	0	134	135	2	640203	659241	50	2	14	23312	1	1	1	
120	"073"	1/10/1991 0:00:00	"MWTR"	12/30/1899 9:37:00			7	6.90		1.22	0	205		1	688561	712621		4	20					
121	"073"	2/8/1991 0:00:00	"MWTR"	12/30/1899 10:38:00			8	10.30		0.71	0	235		2	848238	872105		2	25					
122	"073"	3/12/1991 0:00:00	"MWTR"	12/30/1899 10:07:00			9	11.40		0.39	0	213		2	843720	873800		2	25					
123	"073"	1/10/1992 0:00:00	"MWTR"	12/30/1899 12:35:00			7	8.30		0.57	0	182		2	819096	839070		2	20					
124	"073"	2/7/1992 0:00:00	"MWTR"	12/30/1899 10:09:00			8	10.00		1.29	0	191		2	599839	619136		2	16					
125	"073"	3/18/1992 0:00:00	"MWTR"	12/30/1899 9:35:00			9	13.60		0.31	0	238		2	788898	808693		2	25					
126	"073"	9/16/1992 0:00:00	"MWTR"	12/30/1899 7:48:00			3	20.30		0.71	0	214		1	301506	325835		4	15					
127	"073"	10/14/1992 0:00:00	"MWTR"	12/30/1899 9:28:00			4	19.40		1.01	0	174		1	76815	105026		4	20					
128	"073"	11/9/1992 0:00:00	"MWTR"	12/30/1899 11:07:00			5	15.60		0.51	0	279		2	852999	876565		2	15					
129	"073"	12/14/1992 0:00:00	"MWTR"	12/30/1899 11:30:00			6	9.40		0.15	0	155		2	273559	300122		2	15					
130	"073"	1/13/1993 0:00:00	"MWTR"	12/30/1899 10:35:00			7	7.20		0.09	0	194		2	928444	955121		2	25					
131	"073"	2/10/1993 0:00:00	"MWTR"	12/30/1899 10:55:00			8	10.60		0.15	0	212		2	682827	709884		4	20					
132	"073"	3/16/1993 0:00:00	"MWTR"	12/30/1899 11:00:00			9	15.00		0.66	0	204		2	732806	757833		2	15					
133	"073"	4/14/1993 0:00:00	"MWTR"	12/30/1899 11:16:00			10	13.30		0.42	0	151		2	824281	846633		4	27					
134	"073"	5/12/1993 0:00:00	"MWTR"	12/30/1899 13:04:00			11	16.70		0.68	0	133		2	677867	699172		2	25					
135	"073"	8/12/1993 0:00:00	"MWTR"	12/30/1899 12:30:00			2	20.80		0.79	0	135		2	947264	966412			22					
136	"073"	2/15/1994 0:00:00	"MWTR"	12/30/1899 10:56:00			8	9.40		0.56	0	287		2	969676	986082		2	15					
137	"073"	3/11/1994 0:00:00	"MWTR"	12/30/1899 10:56:00			9	13.90		0.84	0	200		2	720181	734234		2	15					
138	"073"	4/12/1994 0:00:00	"MWTR"	12/30/1899 9:23:00			10	16.10		1.29	0	212		2	800814	833648		2	20					
139	"073"	8/8/1994 0:00:00	"MWTR"	12/30/1899 10:59:00			2	23.60		1.20	0	152		2	492061	509875		2	20					
140	"073"	9/14/1994 0:00:00	"MWTR"	12/30/1899 8:46:00			3	19.40		0.66	0	224		2	114775	137867		2	20					
141	"073"	10/12/1994 0:00:00	"MWTR"	12/30/1899 8:58:00			4	17.80		1.01	0	327		2	510137	525959		2	15					
142	"073"	11/16/1994 0:00:00	"MWTR"	12/30/1899 10:38:00			5	10.60		1.12	0	236		2	376134	394862		2	15					
143	"073"	12/13/1994 0:00:00	"MWTR"	12/30/1899 9:31:00			6	7.80		0.79	0	220		2	759094	780214		2	15					
144	"073"	1/12/1995 0:00:00	"MWTR"	12/30/1899 8:52:00			7	10.60		0.00	0	113		2	209075	228702		2	25					
145	"073"	2/13/1995 0:00:00	"MWTR"	12/30/1899 9:19:00			8	9.80		0.33	0	928		2	652083	667411		2	18					
146	"073"	4/10/1995 0:00:00	"MWTR"	12/30/1899 12:11:00			10	12.20		0.21	0	139		2	783859	797497		2	15					
147	"073"	9/14/1995 0:00:00	"MWTR"	12/30/1899 9:04:00			3	19.50		0.74	0	126		2	604419	622231		2	15					
148	"073"	10/18/1995 0:00:00	"MWTR"	12/30/1899 10:48:00			4	17.30		1.09	0	116		2	430990	449164		2	10					
149	"073"	11/16/1995 0:00:00	"MWTR"	12/30/1899 7:51:00			5	14.80		1.39	0	134		2	718754	737543		2	15					
150	"073"	12/11/1995 0:00:00	"MWTR"	12/30/1899 11:07:00			6	12.80		0.68	0	159		2	178852	202152		2	20					
151	"073"	1/10/1996 0:00:00	"MWTR"	12/30/1899 10:30:00			7	10.60		0.73	0	181		2	31729	53503		2	20					
152	"073"	2/15/1996 0:00:00	"MWTR"	12/30/1899 10:55:00			8	11.80		0.42	0	123		2	839444	862971		2	25					
153	"073"	3/12/1996 0:00:00	"MWTR"	12/30/1899 10:21:00			9	11.90		0.32	0	140		2	555628	578345		2	25					
154	"073"	8/13/1996 0:00:00	"MWTR"	12/30/1899 8:43:00			2	22.40		0.91	0	127		2	324371	347293		2	15					
155	"073"	9/11/1996 0:00:00	"MWTR"	12/30/1899 8:50:00			3	19.60		0.77	0	176		2	740529	761808		2	15					
156	"073"	10/16/1996 0:00:00	"MWTR"	12/30/1899 9:04:00			4	17.40		1.21	0	129		2	956120	974884		2	15					
157	"073"	11/14/1996 0:00:00	"MWTR"	12/30/1899 9:26:00			5	13.70		1.81	0	128		2	310367	322824		2	20					
158	"073"	12/19/1996 0:00:00	"MWTR"	12/30/1899 11:04:00			6	9.80		0.36	0	74		2	221038	235613		2	20					
159	"073"	3/12/1997 0:00:00	"MWTR"	12/30/1899 10:48:00			9	12.20		0.41	0	106		2	679973	704681		2	20					
160	"073"	8/12/1997 0:00:00	"MWTR"	12/30/1899 9:20:00	12/30/1899 9:31:00		2	20.80		0.79	0	129		2	432301	449005	0	2	15	12981				
161	"073"	9/11/1997 0:00:00	"MWTR"	12/30/1899 8:21:00	12/30/1899 8:33:00		3	20.70		0.49	0	182		2	753777	781999	50	2	15	14979				
162	"073"	10/17/1997 0:00:00	"MWTR"	12/30/1899 8:20:00	12/30/1899 8:30:00		4	16.20		1.08	0	140		1	843732	860432	50	4	15	14979				
163	"073"	11/13/1997 0:00:00	"MWTR"	12/30/1899 8:48:00	12/30/1899 8:58:00		5	13.90		1.21	0	157		2	725150	746622	50	2	20	14979				
164	"073"	12/9/1997 0:00:00	"MWTR"	12/30/1899 8:55:00	12/30/1899 9:05:00		6	10.30		0.22	0	150		2	815999	836289	100	2	20	12423				
165	"073"	9/24/1998 0:00:00	"MWTR"	12/30/1899 9:42:00	12/30/1899 9:52:00		3	17.90		0.74	0	145		2	513260	533957	100	2	25	12423				
166	"073"	10/22/1998 0:00:00	"MWTR"	12/30/1899 9:24:00	12/30/1899 9:34:00		4	15.40		1.13	0	142		2	886584	903279	50	2	20	12423				
167	"073"	2/22/1999 0:00:00	"MWTR"	12/30/1899 10:41:00	12/30/1899 10:51:00		8	9.10		0.21	0	108		2	147129	174995	100	2	20	12423				
168	"073"	3/16/1999 0:00:00	"MWTR"	12/30/1899 9:38:00	12/30/1899 9:48:00		9	10.50		0.31	0	96		2	12788	31784	50	2	15	12423				
169	"073"	10/14/1999 0:00:00	"MWTR"	12/30/1899 9:02:00	12/30/1899 9:10:00		4	17.80		1.34	0	117		2	795530	806948	100	2	20	14978				
170	"073"	11/10/1999 0:00:00	"MWTR"	12/30/1899 9:17:00	12/30/1899 9:26:00		5	14.70		1.09	0	139		2	893545	915537	50	2	15	14978				
171	"073"	2/16/2000 0:00:00	"MWTR"	12/30/1899 10:34:00	12/30/1899 10:44:00		8	11.20		0.26	0	107		1	654807	677898	50	2	15	14978				
172	"073"	3/15/2000 0:00:00	"MWTR"	12/30/1899 8:46:00	12/30/1899 8:44:00		9	12.10		0.66	0	127		2	316222	341569	50	2	15	14978				
173	"073"	10/12/2000 0:00:00	"MWTR"	12/30/1899 8:59:00	12/30/1899 9:09:00		4	16.30		1.27	0	151		2	544140	566898	50	2	15	13327				
174	"073"	11/16/2000 0:00:00	"MWTR"	12/30/1899 9:56:00	12/30/1899 10:05:00		5	10.50		1.65	0	135		1	463400	487416	50	4	25	13327				
175	"073"	12/14/2000 0:00:00	"MWTR"	12/30/1899 11:31:00	12/30/1899 11:40:00		6	10.90		1.01	0	142		1	338051	362096	50	4	15	13327				
176	"073"	1/16/2001 0:00:00	"MWTR"	12/30/1899 10:08:00	12/30/1899 10:18:00		7	8.30		0.29	0	131		1	114259	129234	50	4	25	13327				
177	"073"	2/23/2001 0:00:00	"MWTR"	12/30/1899 9:06:00	12/30/1899 9:15:00		8	10.30		0.38	0	187		2	172715	188987	0	2	20	13327				
178	"073"	3/12/2001 0:00:00	"MWTR"	12/30/1899 9:39:00	12/30/1899 9:48:00		9			0.20	0			2			50	2	15	13291				
179	"073"	9/13/2001 0:00:00	"MWTR"	12/30/1899 10:01:00	12/30/1899 10:11:00		3	20.50		0.64	0	225		2	888962	911049	50	2	15	13327				
180	"073"	10/11/2001 0:00:00	"MWTR"	12/30/1899 9:14:00	12/30/1899 9:23:00		4	18.80		0.97	0			1	725891	746980	50	4	19	13327				
